Date,Open,High,Low,Close,Volume,Adj Close
2011-01-03,28.05,28.18,27.92,27.98,53443800,21.5
2011-01-04,27.94,28.17,27.85,28.09,54405600,21.59
2011-01-05,27.9,28.01,27.77,28.0,58998700,21.52
2011-01-06,28.04,28.85,27.86,28.82,88026300,22.15
2011-01-07,28.64,28.74,28.25,28.6,73762000,21.98
2011-01-10,28.26,28.4,28.04,28.22,57573600,21.69
2011-01-11,28.2,28.25,28.05,28.11,50298900,21.6
2011-01-12,28.12,28.59,28.07,28.55,52631100,21.94
2011-01-13,28.33,28.39,28.01,28.19,67077600,21.66
2011-01-14,28.08,28.38,27.91,28.3,62688400,21.75
2011-01-18,28.16,28.74,28.14,28.66,53322700,22.03
2011-01-19,28.46,28.68,28.27,28.47,50005900,21.88
2011-01-20,28.5,28.55,28.13,28.35,58613600,21.79
2011-01-21,28.4,28.43,28.02,28.02,58080300,21.53
2011-01-24,28.02,28.56,27.99,28.38,52047800,21.81
2011-01-25,28.14,28.45,28.12,28.45,42436600,21.86
2011-01-26,28.51,28.99,28.5,28.78,74628800,22.12
2011-01-27,28.75,29.46,28.49,28.87,146938600,22.19
2011-01-28,28.9,28.93,27.45,27.75,141249400,21.33
2011-01-31,27.77,27.9,27.42,27.73,65029000,21.31
2011-02-01,27.8,28.06,27.61,27.99,62810700,21.51
2011-02-02,27.93,28.11,27.88,27.94,45824000,21.47
2011-02-03,27.97,27.97,27.54,27.65,60340100,21.25
2011-02-04,27.7,27.84,27.51,27.77,40412200,21.34
2011-02-07,27.8,28.34,27.79,28.2,68980900,21.67
2011-02-08,28.1,28.34,28.05,28.28,34904200,21.73
2011-02-09,28.19,28.26,27.91,27.97,52905100,21.5
2011-02-10,27.93,27.94,27.29,27.5,76672400,21.13
2011-02-11,27.76,27.81,27.07,27.25,83939700,20.94
2011-02-14,27.21,27.27,26.95,27.23,56766200,20.93
2011-02-15,27.04,27.33,26.95,26.96,44116500,20.84
2011-02-16,27.05,27.07,26.6,27.02,70817900,20.89
2011-02-17,26.97,27.37,26.91,27.21,57207300,21.04
2011-02-18,27.13,27.21,26.99,27.06,68667800,20.92
2011-02-22,26.78,27.1,26.52,26.59,60889000,20.56
2011-02-23,26.53,26.86,26.43,26.59,60234100,20.56
2011-02-24,26.64,27.06,26.5,26.77,64494200,20.7
2011-02-25,26.91,26.95,26.5,26.55,53006300,20.53
2011-02-28,26.69,26.86,26.51,26.58,51379900,20.55
2011-03-01,26.6,26.78,26.15,26.16,60055000,20.22
2011-03-02,26.11,26.37,26.04,26.08,48658200,20.16
2011-03-03,26.26,26.4,26.18,26.2,68271500,20.25
2011-03-04,26.22,26.24,25.8,25.95,70437200,20.06
2011-03-07,26.13,26.27,25.55,25.72,64980400,19.88
2011-03-08,25.77,26.02,25.65,25.91,50549800,20.03
2011-03-09,25.81,25.98,25.66,25.89,39789100,20.01
2011-03-10,25.62,25.71,25.35,25.41,66549500,19.64
2011-03-11,25.41,25.85,25.36,25.68,49905800,19.85
2011-03-14,25.49,25.76,25.35,25.69,54473400,19.86
2011-03-15,25.08,25.47,25.0,25.39,76067300,19.63
2011-03-16,25.22,25.28,24.68,24.79,100725400,19.16
2011-03-17,25.06,25.22,24.75,24.78,62497000,19.16
2011-03-18,25.06,25.18,24.8,24.8,85486700,19.17
2011-03-21,25.18,25.58,25.15,25.33,46878100,19.58
2011-03-22,25.3,25.46,25.23,25.3,30895600,19.56
2011-03-23,25.23,25.61,25.18,25.54,43969000,19.74
2011-03-24,25.6,25.87,25.5,25.81,38696700,19.95
2011-03-25,25.93,25.95,25.59,25.62,57029800,19.81
2011-03-28,25.66,25.72,25.38,25.41,48973200,19.64
2011-03-29,25.34,25.52,25.3,25.49,40763500,19.71
2011-03-30,25.6,25.72,25.5,25.61,41999300,19.8
2011-03-31,25.6,25.68,25.34,25.39,63233700,19.63
2011-04-01,25.53,25.53,25.31,25.48,63114200,19.7
2011-04-04,25.45,25.66,25.41,25.55,35433700,19.75
2011-04-05,25.82,26.18,25.74,25.78,73651100,19.93
2011-04-06,25.98,26.31,25.86,26.15,65581400,20.22
2011-04-07,26.19,26.26,25.97,26.2,46134700,20.25
2011-04-08,26.17,26.28,25.96,26.07,39887600,20.15
2011-04-11,26.19,26.25,25.8,25.98,34286300,20.08
2011-04-12,25.83,25.85,25.55,25.64,36920400,19.82
2011-04-13,25.65,25.87,25.56,25.63,38144700,19.81
2011-04-14,25.42,25.44,25.09,25.42,55239900,19.65
2011-04-15,25.46,25.56,25.18,25.37,65080400,19.61
2011-04-18,25.1,25.28,24.72,25.08,58045100,19.39
2011-04-19,25.0,25.17,24.87,25.15,38892400,19.44
2011-04-20,25.54,26.0,25.51,25.76,61608600,19.91
2011-04-21,25.79,25.89,25.36,25.52,46892300,19.73
